name,category_name,description,city,region,phone,email,website,min_order_amount,min_order_unit,price_range_description,has_certificates,certificate_types,delivery_conditions,delivery_regions,source_url,source_platform,notes
ООО «КурганМолПром»,Молочная продукция,Оптовые поставки сухого молока и казеина.,Курган,Курганская область,+7 (352) 280-58-65,dry@kurgan-mol.ru,kurgan-mol.ru,100000,руб,Сухое молоко от 310 руб/кг,True,"ГОСТ, ISO 22000",Доставка по УФО,"Курган, Екатеринбург, Тюмень",https://kurgan-mol.ru,manual,
ООО «ЧукоткаМорепродукты»,Рыба и морепродукты,Поставки нерки чавычи и краба с Чукотки.,Анадырь,Чукотский автономный округ,+7 (427) 260-59-66,seafood@chukotka-more.ru,chukotka-more.ru,400000,руб,Нерка от 850 руб/кг,True,"ГОСТ, MSC",Доставка по РФ,"Анадырь, Магадан, Москва",https://chukotka-more.ru,manual,
ООО «КировМясо»,Мясо и птица,Поставки говядины и телятины от фермерских хозяйств Кирова.,Киров,Кировская область,+7 (833) 240-60-67,beef@kirov-myaso.ru,kirov-myaso.ru,60000,руб,Телятина от 420 руб/кг,True,"ГОСТ, ветеринарные сертификаты",Доставка по ПФО,"Киров, Пермь, Вятка",https://kirov-myaso.ru,manual,
ООО «МордовияКонсервы»,Консервы,Оптовые поставки мясных и овощных консервов от комбината.,Саранск,Республика Мордовия,+7 (834) 220-61-68,canned@mordoviya-konservy.ru,mordoviya-konservy.ru,55000,руб,Тушёнка от 185 руб/банка,True,"ГОСТ, HACCP",Доставка по ПФО,"Саранск, Пенза, Ульяновск",https://mordoviya-konservy.ru,manual,
ООО «ТульскоеМасло»,Масложировая продукция,Поставки горчичного и тыквенного масла оптом.,Тула,Тульская область,+7 (487) 200-62-69,oil@tula-maslo.ru,tula-maslo.ru,40000,руб,Горчичное масло от 145 руб/л,True,ГОСТ,Доставка по ЦФО,"Тула, Москва, Рязань",https://tula-maslo.ru,manual,
ООО «ОренбургПуховичок»,Бакалея,Поставки пшеницы и ячменя от оренбургских хозяйств.,Оренбург,Оренбургская область,+7 (353) 280-63-70,grain@orenburg-grain.ru,orenburg-grain.ru,90000,руб,Пшеница от 16 руб/кг,True,ГОСТ,Доставка по ПФО и УФО,"Оренбург, Уфа, Самара",https://orenburg-grain.ru,manual,
ООО «СтавропольЗлаки»,Бакалея,Оптовые поставки подсолнечника и кукурузы с юга.,Ставрополь,Ставропольский край,+7 (865) 260-64-71,grain@stavropol-zlaki.ru,stavropol-zlaki.ru,80000,руб,Кукуруза от 14 руб/кг,True,ГОСТ,Доставка по СКФО и ЮФО,"Ставрополь, Краснодар, Ростов",https://stavropol-zlaki.ru,manual,
ООО «КрымФрукт»,Фрукты и овощи,Поставки крымских персиков абрикосов и черешни оптом.,Симферополь,Республика Крым,+7 (365) 240-65-72,fruit@krym-frukt.ru,krym-frukt.ru,35000,руб,Персики от 120 руб/кг,False,,Доставка по ЮФО,"Симферополь, Севастополь, Краснодар",https://krym-frukt.ru,manual,
ООО «НовосибирскКондитер»,Кондитерские изделия,Оптовые поставки шоколадных конфет и карамели.,Новосибирск,Новосибирская область,+7 (383) 220-66-73,candy@novosibirsk-kond.ru,novosibirsk-kond.ru,40000,руб,Конфеты от 350 руб/кг,True,"ГОСТ, ISO 22000",Доставка по СФО,"Новосибирск, Омск, Томск",https://novosibirsk-kond.ru,manual,
ООО «БарнаулМолоко»,Молочная продукция,Поставки алтайского молока и творога оптом.,Барнаул,Алтайский край,+7 (385) 200-67-74,dairy@barnaul-moloko.ru,barnaul-moloko.ru,45000,руб,Молоко алтайское от 56 руб/л,True,ГОСТ,Доставка по СФО,"Барнаул, Новосибирск, Кемерово",https://barnaul-moloko.ru,manual,
ООО «МагаданРыба»,Рыба и морепродукты,Поставки кеты чира и нельмы с Колымы оптом.,Магадан,Магаданская область,+7 (413) 280-68-75,fish@magadan-ryba.ru,magadan-ryba.ru,180000,руб,Кета от 380 руб/кг,True,"ГОСТ, MSC",Доставка по ДВО и РФ,"Магадан, Хабаровск, Москва",https://magadan-ryba.ru,manual,
ООО «ПензаПтицефабрика»,Мясо и птица,Поставки куриного яйца и мяса птицы оптом.,Пенза,Пензенская область,+7 (841) 260-69-76,eggs@penza-ptitsa.ru,penza-ptitsa.ru,55000,руб,Яйца С1 от 7,5 руб/шт,True,ГОСТ,Доставка по ПФО,"Пенза, Саратов, Тамбов",https://penza-ptitsa.ru,manual,
ООО «ТверьМясо»,Мясо и птица,Оптовые поставки свинины и телятины от тверских ферм.,Тверь,Тверская область,+7 (482) 240-70-77,meat@tver-myaso.ru,tver-myaso.ru,60000,руб,Телятина от 410 руб/кг,True,"ГОСТ, ветеринарные сертификаты",Доставка по ЦФО,"Тверь, Москва, Ярославль",https://tver-myaso.ru,manual,
ООО «КировМука»,Бакалея,Поставки ржаной и цельнозерновой муки оптом.,Киров,Кировская область,+7 (833) 220-71-78,flour@kirov-muka.ru,kirov-muka.ru,50000,руб,Ржаная мука от 30 руб/кг,True,ГОСТ,Доставка по ПФО,"Киров, Пермь, Ижевск",https://kirov-muka.ru,manual,
ООО «АстраханьОвощи»,Фрукты и овощи,Поставки астраханских арбузов и дынь оптом.,Астрахань,Астраханская область,+7 (851) 200-72-79,melon@astrahan-ovoshi.ru,astrahan-ovoshi.ru,25000,руб,Арбузы от 18 руб/кг,False,,Доставка по ЮФО и ПФО,"Астрахань, Волгоград, Саратов",https://astrahan-ovoshi.ru,manual,
ООО «СибирьКонсервы»,Консервы,Оптовые поставки консервов из дикоросов и рыбы Сибири.,Томск,Томская область,+7 (382) 280-73-80,canned@sibir-konservy.ru,sibir-konservy.ru,40000,руб,Консервы из кедрача от 280 руб/банка,True,"ГОСТ, HACCP",Доставка по СФО и РФ,"Томск, Новосибирск, Омск",https://sibir-konservy.ru,manual,
ООО «ОмскЗерно»,Бакалея,Оптовые поставки зерна злаков и бобовых с Западной Сибири.,Омск,Омская область,+7 (381) 260-74-81,grain@omsk-zerno.ru,omsk-zerno.ru,100000,руб,Пшеница от 15 руб/кг,True,ГОСТ,Доставка по СФО,"Омск, Новосибирск, Барнаул",https://omsk-zerno.ru,manual,
ООО «ТатарстанМолоко»,Молочная продукция,Оптовые поставки молока катыка и корта от хозяйств Татарстана.,Казань,Республика Татарстан,+7 (843) 240-75-82,dairy@tatarstan-moloko.ru,tatarstan-moloko.ru,48000,руб,Катык от 80 руб/л,True,ГОСТ,Доставка по ПФО,"Казань, Набережные Челны, Нижний Новгород",https://tatarstan-moloko.ru,manual,
ООО «ВологдаМасло»,Масложировая продукция,Производство и поставка вологодского масла оптом.,Вологда,Вологодская область,+7 (817) 220-76-83,butter@vologda-maslo.ru,vologda-maslo.ru,60000,руб,Вологодское масло от 650 руб/кг,True,"ГОСТ, HACCP",Доставка по СЗФО,"Вологда, Петербург, Москва",https://vologda-maslo.ru,manual,
ООО «ИркутскЯгода»,Бакалея,Поставки байкальской брусники и клюквы оптом.,Иркутск,Иркутская область,+7 (395) 200-77-84,berries@irkutsk-yagoda.ru,irkutsk-yagoda.ru,18000,руб,Брусника от 420 руб/кг,True,ГОСТ,Доставка по СФО и РФ,"Иркутск, Улан-Удэ, Москва",https://irkutsk-yagoda.ru,manual,
ООО «ВоронежскиеСады»,Фрукты и овощи,Поставки яблок вишни и смородины из воронежских садов.,Воронеж,Воронежская область,+7 (473) 280-78-85,fruit@voronezh-sady.ru,voronezh-sady.ru,32000,руб,Вишня от 90 руб/кг,False,,Доставка по ЦФО,"Воронеж, Липецк, Тамбов",https://voronezh-sady.ru,manual,
ООО «ТюменьРыба»,Рыба и морепродукты,Поставки сибирской рыбы — муксун нельма стерлядь.,Тюмень,Тюменская область,+7 (345) 260-79-86,fish@tyumen-ryba.ru,tyumen-ryba.ru,90000,руб,Муксун от 620 руб/кг,True,"ГОСТ, ветеринарные сертификаты",Доставка по УФО и СФО,"Тюмень, Сургут, Екатеринбург",https://tyumen-ryba.ru,manual,
ООО «КалининградЯнтарьЗлаки»,Бакалея,Оптовые поставки рапса и тритикале с Балтики.,Калининград,Калининградская область,+7 (401) 240-80-87,grain@kalin-zlaki.ru,kalin-zlaki.ru,90000,руб,Рапс от 32 руб/кг,True,ГОСТ,Доставка по РФ,"Калининград, Псков, Петербург",https://kalin-zlaki.ru,manual,
ООО «ЙошкарОлаПтица»,Мясо и птица,Поставки гусятины и утятины от марийских птицеферм.,Йошкар-Ола,Республика Марий Эл,+7 (836) 220-81-88,duck@yoshkar-ptitsa.ru,yoshkar-ptitsa.ru,55000,руб,Утка от 235 руб/кг,True,ГОСТ,Доставка по ПФО,"Йошкар-Ола, Казань, Чебоксары",https://yoshkar-ptitsa.ru,manual,
ООО «РязаньОвощи»,Фрукты и овощи,Поставки тепличного перца и баклажана оптом.,Рязань,Рязанская область,+7 (491) 200-82-89,veg@ryazan-ovoshi.ru,ryazan-ovoshi.ru,28000,руб,Болгарский перец от 110 руб/кг,False,,Доставка по ЦФО,"Рязань, Москва, Тула",https://ryazan-ovoshi.ru,manual,
ООО «КамчаткаМорепродукты»,Рыба и морепродукты,Поставки гребешка икры и трепанга с Камчатки.,Петропавловск-Камчатский,Камчатский край,+7 (415) 280-83-90,seafood@kamchatka-more.ru,kamchatka-more.ru,350000,руб,Гребешок от 1600 руб/кг,True,"ГОСТ, MSC, HACCP",Доставка по РФ,"Камчатка, Владивосток, Москва",https://kamchatka-more.ru,manual,
ООО «КемеровоКондитер»,Кондитерские изделия,Оптовые поставки печенья и пряников от кузбасского завода.,Кемерово,Кемеровская область,+7 (384) 260-84-91,candy@kemerovo-kond.ru,kemerovo-kond.ru,35000,руб,Печенье от 180 руб/кг,True,ГОСТ,Доставка по СФО,"Кемерово, Новосибирск, Томск",https://kemerovo-kond.ru,manual,
ООО «АбаканОвощи»,Фрукты и овощи,Поставки помидоров и огурцов из хакасских теплиц.,Абакан,Республика Хакасия,+7 (390) 240-85-92,veg@abakan-ovoshi.ru,abakan-ovoshi.ru,22000,руб,Помидоры от 88 руб/кг,False,,Доставка по СФО,"Абакан, Кызыл, Красноярск",https://abakan-ovoshi.ru,manual,
ООО «ПермьМолоко»,Молочная продукция,Оптовые поставки молока кефира и варенца от пермских ферм.,Пермь,Пермский край,+7 (342) 220-86-93,dairy@perm-moloko.ru,perm-moloko.ru,42000,руб,Варенец от 72 руб/л,True,ГОСТ,Доставка по ПФО,"Пермь, Екатеринбург, Ижевск",https://perm-moloko.ru,manual,
ООО «ЭлистаОвцеводство»,Мясо и птица,Поставки молодой калмыцкой баранины оптом.,Элиста,Республика Калмыкия,+7 (847) 200-87-94,lamb@elista-ovtsevodstvo.ru,elista-ovtsevodstvo.ru,75000,руб,Ягнятина от 450 руб/кг,True,"ГОСТ, халяль сертификат",Доставка по ЮФО,"Элиста, Ростов, Волгоград",https://elista-ovtsevodstvo.ru,manual,
ООО «ВоронежМука»,Бакалея,Оптовые поставки муки в/с и отрубей от воронежских мелькомбинатов.,Воронеж,Воронежская область,+7 (473) 280-88-95,flour@voronezh-muka.ru,voronezh-muka.ru,70000,руб,Мука в/с от 33 руб/кг,True,ГОСТ,Доставка по ЦФО,"Воронеж, Белгород, Курск",https://voronezh-muka.ru,manual,
ООО «КабардаМёд»,Кондитерские изделия,Поставки горного мёда из Кабардино-Балкарии оптом.,Нальчик,Кабардино-Балкарская Республика,+7 (866) 260-89-96,honey@kabarda-med.ru,kabarda-med.ru,18000,руб,Горный мёд от 480 руб/кг,True,"ГОСТ, органический сертификат",Доставка по СКФО,"Нальчик, Ставрополь, Пятигорск",https://kabarda-med.ru,manual,
ООО «НенецкийАО-Рыба»,Рыба и морепродукты,Поставки северной семги и форели оптом.,Нарьян-Мар,Ненецкий автономный округ,+7 (818) 240-90-97,salmon@nenets-ryba.ru,nenets-ryba.ru,200000,руб,Семга от 780 руб/кг,True,"ГОСТ, MSC",Доставка по СЗФО и РФ,"Нарьян-Мар, Архангельск, Москва",https://nenets-ryba.ru,manual,
ООО «ВолгаМасло»,Масложировая продукция,Оптовые поставки горчичного масла волгоградского производства.,Волгоград,Волгоградская область,+7 (844) 220-91-98,oil@volga-maslo.ru,volga-maslo.ru,65000,руб,Горчичное масло от 140 руб/л,True,ГОСТ,Доставка по ЮФО,"Волгоград, Саратов, Астрахань",https://volga-maslo.ru,manual,
ООО «НижегородскийСыр»,Молочная продукция,Поставки нижегородских сыров и мягкого творога оптом.,Нижний Новгород,Нижегородская область,+7 (831) 200-92-99,cheese@nn-syr.ru,nn-syr.ru,50000,руб,Сыр нижегородский от 460 руб/кг,True,"ГОСТ, HACCP",Доставка по ПФО,"Нижний Новгород, Казань, Ижевск",https://nn-syr.ru,manual,
ООО «СвердловскКолбаса»,Мясо и птица,Поставки колбас и деликатесов уральского производства.,Екатеринбург,Свердловская область,+7 (343) 280-93-00,kolbasa@sverdlovsk-kol.ru,sverdlovsk-kol.ru,60000,руб,Колбаса с/к от 680 руб/кг,True,"ГОСТ, HACCP",Доставка по УФО,"Екатеринбург, Челябинск, Тюмень",https://sverdlovsk-kol.ru,manual,
ООО «КалугаМолПром»,Молочная продукция,Поставки питьевого йогурта и сметаны оптом.,Калуга,Калужская область,+7 (484) 260-94-01,dairy@kaluga-mol.ru,kaluga-mol.ru,42000,руб,Йогурт от 68 руб/л,True,ГОСТ,Доставка по ЦФО,"Калуга, Тула, Москва",https://kaluga-mol.ru,manual,
ООО «ДагестанОвощи»,Фрукты и овощи,Поставки чеснока репчатого лука и баклажанов оптом.,Махачкала,Республика Дагестан,+7 (872) 240-95-02,veg@dagestan-ovoshi.ru,dagestan-ovoshi.ru,28000,руб,Чеснок от 130 руб/кг,False,,Доставка по СКФО и ЮФО,"Махачкала, Ставрополь, Ростов",https://dagestan-ovoshi.ru,manual,
ООО «ХакасияЗерно»,Бакалея,Оптовые поставки ячменя и овса из Хакасии.,Абакан,Республика Хакасия,+7 (390) 220-96-03,grain@hakasiya-zerno.ru,hakasiya-zerno.ru,75000,руб,Ячмень от 13 руб/кг,True,ГОСТ,Доставка по СФО,"Абакан, Кызыл, Красноярск",https://hakasiya-zerno.ru,manual,
ООО «МоскваКондитер»,Кондитерские изделия,Оптовые поставки шоколадных изделий и мармелада столичного производства.,Москва,Московская область,+7 (495) 300-97-04,candy@moskva-kond.ru,moskva-kond.ru,60000,руб,Шоколадные конфеты от 400 руб/кг,True,"ГОСТ, ISO 22000, HACCP",Доставка по ЦФО,"Москва, МО, Тула, Тверь",https://moskva-kond.ru,manual,
ООО «БайкалРыба»,Рыба и морепродукты,Поставки омуля хариуса и байкальского сига оптом.,Иркутск,Иркутская область,+7 (395) 280-98-05,fish@baykal-ryba.ru,baykal-ryba.ru,100000,руб,Омуль от 590 руб/кг,True,ГОСТ,Доставка по СФО,"Иркутск, Улан-Удэ, Чита",https://baykal-ryba.ru,manual,
ООО «СтавропольМолоко»,Молочная продукция,Оптовые поставки молока и сметаны из Предкавказья.,Ставрополь,Ставропольский край,+7 (865) 260-99-06,dairy@stavropol-moloko.ru,stavropol-moloko.ru,44000,руб,Сметана 20% от 145 руб/кг,True,ГОСТ,Доставка по СКФО и ЮФО,"Ставрополь, Краснодар, Ростов",https://stavropol-moloko.ru,manual,
ООО «МарийЭлМёд»,Кондитерские изделия,Поставки луговых и лесных медов из Марий Эл оптом.,Йошкар-Ола,Республика Марий Эл,+7 (836) 240-00-07,honey@mari-med.ru,mari-med.ru,16000,руб,Мёд луговой от 380 руб/кг,True,ГОСТ,Доставка по ПФО,"Йошкар-Ола, Казань, Нижний Новгород",https://mari-med.ru,manual,
ООО «КрасноярскМясо»,Мясо и птица,Оптовые поставки свинины и субпродуктов из Красноярска.,Красноярск,Красноярский край,+7 (391) 220-01-08,pork@krasnoyarsk-myaso.ru,krasnoyarsk-myaso.ru,70000,руб,Свинина от 295 руб/кг,True,"ГОСТ, ветеринарные сертификаты",Доставка по СФО,"Красноярск, Ачинск, Канск",https://krasnoyarsk-myaso.ru,manual,
ООО «ПетербургРыба»,Рыба и морепродукты,Оптовые поставки рыбы балтийского и баренцевого промысла.,Санкт-Петербург,Санкт-Петербург,+7 (812) 200-02-09,fish@peterburg-ryba.ru,peterburg-ryba.ru,120000,руб,Форель от 460 руб/кг,True,"ГОСТ, HACCP",Доставка по СЗФО,"Петербург, Мурманск, Архангельск",https://peterburg-ryba.ru,manual,
ООО «ЮжноСахалинскКонсервы»,Консервы,Поставки рыбных консервов и пресервов с Сахалина.,Южно-Сахалинск,Сахалинская область,+7 (424) 280-03-10,canned@sakhalin-konservy.ru,sakhalin-konservy.ru,80000,руб,Консервы горбуша от 120 руб/банка,True,"ГОСТ, HACCP",Доставка по РФ,"Южно-Сахалинск, Владивосток, Москва",https://sakhalin-konservy.ru,manual,
ООО «ТверьОвощи»,Фрукты и овощи,Поставки капусты редьки и свёклы из тверских хозяйств.,Тверь,Тверская область,+7 (482) 260-04-11,veg@tver-ovoshi.ru,tver-ovoshi.ru,24000,руб,Свёкла от 20 руб/кг,False,,Доставка по ЦФО,"Тверь, Москва, Ярославль",https://tver-ovoshi.ru,manual,
ООО «СаратовКондитер»,Кондитерские изделия,Оптовые поставки вафель и зефира от поволжских предприятий.,Саратов,Саратовская область,+7 (845) 240-05-12,candy@saratov-kond.ru,saratov-kond.ru,38000,руб,Зефир от 280 руб/кг,True,ГОСТ,Доставка по ПФО,"Саратов, Самара, Ульяновск",https://saratov-kond.ru,manual,
ООО «МоскваМясо»,Мясо и птица,Оптовые поставки полуфабрикатов и фарша московских предприятий.,Москва,Московская область,+7 (495) 220-06-13,meat@moskva-myaso.ru,moskva-myaso.ru,100000,руб,Фарш свино-говяжий от 310 руб/кг,True,"ГОСТ, HACCP",Доставка по ЦФО,"Москва, МО, Тула, Рязань",https://moskva-myaso.ru,manual,
ООО «КировЯгода»,Бакалея,Поставки лесных ягод и трав из кировских угодий оптом.,Киров,Кировская область,+7 (833) 200-07-14,berries@kirov-yagoda.ru,kirov-yagoda.ru,15000,руб,Земляника от 550 руб/кг,True,ГОСТ,Доставка по ПФО и СЗФО,"Киров, Пермь, Петербург",https://kirov-yagoda.ru,manual,
ООО «ПриморьеМорепродукты»,Рыба и морепродукты,Поставки трепанга мидии и кукумарии из Приморья.,Владивосток,Приморский край,+7 (423) 280-08-15,seafood@primorye-more.ru,primorye-more.ru,280000,руб,Трепанг от 4500 руб/кг,True,"ГОСТ, MSC, HACCP",Доставка по РФ,"Владивосток, Хабаровск, Москва",https://primorye-more.ru,manual,
ООО «НовосибирскМолоко»,Молочная продукция,Оптовые поставки пастеризованного молока и сыворотки.,Новосибирск,Новосибирская область,+7 (383) 260-09-16,dairy@novosibirsk-moloko.ru,novosibirsk-moloko.ru,46000,руб,Молоко от 53 руб/л,True,ГОСТ,Доставка по СФО,"Новосибирск, Омск, Барнаул",https://novosibirsk-moloko.ru,manual,
ООО «КаспийскаяРыба»,Рыба и морепродукты,Поставки каспийской кильки и осетрины оптом.,Астрахань,Астраханская область,+7 (851) 240-10-17,fish@kaspiy-ryba.ru,kaspiy-ryba.ru,100000,руб,Осетрина от 1100 руб/кг,True,"ГОСТ, HACCP",Доставка по ЮФО,"Астрахань, Волгоград, Ростов",https://kaspiy-ryba.ru,manual,
ООО «КраснодарКондитер»,Кондитерские изделия,Оптовые поставки кубанских конфет и шоколада.,Краснодар,Краснодарский край,+7 (861) 220-11-18,candy@krasnodar-kond.ru,krasnodar-kond.ru,45000,руб,Конфеты от 380 руб/кг,True,"ГОСТ, ISO 22000",Доставка по ЮФО,"Краснодар, Ростов, Ставрополь",https://krasnodar-kond.ru,manual,
ООО «ЯмалОленина»,Мясо и птица,Поставки ямальской оленины и северной птицы оптом.,Салехард,Ямало-Ненецкий автономный округ,+7 (349) 200-12-19,venison@yamal-olenina.ru,yamal-olenina.ru,110000,руб,Оленина от 750 руб/кг,True,"ГОСТ, ветеринарные сертификаты",Доставка по УФО и РФ,"Салехард, Тюмень, Москва",https://yamal-olenina.ru,manual,
ООО «ВолгоградСахар»,Бакалея,Поставки сахара-песка и мелассы с поволжских заводов.,Волгоград,Волгоградская область,+7 (844) 280-13-20,sugar@volgograd-sakhar.ru,volgograd-sakhar.ru,95000,руб,Сахар-песок от 61 руб/кг,True,ГОСТ,Доставка по ЮФО,"Волгоград, Саратов, Ростов",https://volgograd-sakhar.ru,manual,
ООО «МурманскТреска»,Рыба и морепродукты,Поставки свежей и мороженой трески с Баренцева моря.,Мурманск,Мурманская область,+7 (815) 260-14-21,cod@murmansk-treska.ru,murmansk-treska.ru,130000,руб,Треска от 270 руб/кг,True,"ГОСТ, MSC, HACCP",Доставка по СЗФО и РФ,"Мурманск, Архангельск, Петербург",https://murmansk-treska.ru,manual,
ООО «ОрёлМолоко»,Молочная продукция,Поставки молока и сливочного сыра из орловских хозяйств.,Орёл,Орловская область,+7 (486) 240-15-22,dairy@orel-moloko.ru,orel-moloko.ru,40000,руб,Молоко от 53 руб/л,True,ГОСТ,Доставка по ЦФО,"Орёл, Курск, Брянск",https://orel-moloko.ru,manual,
ООО «РостовСвинина»,Мясо и птица,Оптовые поставки ростовской свинины и сала.,Ростов-на-Дону,Ростовская область,+7 (863) 220-16-23,pork@rostov-svinina.ru,rostov-svinina.ru,72000,руб,Свинина от 280 руб/кг,True,"ГОСТ, ветеринарные сертификаты",Доставка по ЮФО,"Ростов, Краснодар, Волгоград",https://rostov-svinina.ru,manual,
ООО «ВладивостокКальмар»,Рыба и морепродукты,Поставки кальмара минтая и терпуга с Тихого океана.,Владивосток,Приморский край,+7 (423) 200-17-24,squid@vladivostok-kalmar.ru,vladivostok-kalmar.ru,160000,руб,Кальмар от 220 руб/кг,True,"ГОСТ, MSC",Доставка по РФ,"Владивосток, Хабаровск, Москва",https://vladivostok-kalmar.ru,manual,
ООО «УральскийКондитер»,Кондитерские изделия,Поставки уральских пряников и карамели оптом.,Екатеринбург,Свердловская область,+7 (343) 280-18-25,candy@ural-kond.ru,ural-kond.ru,40000,руб,Карамель от 240 руб/кг,True,ГОСТ,Доставка по УФО,"Екатеринбург, Челябинск, Пермь",https://ural-kond.ru,manual,
ООО «ПензаМасло»,Масложировая продукция,Оптовые поставки подсолнечного и соевого масла.,Пенза,Пензенская область,+7 (841) 260-19-26,oil@penza-maslo.ru,penza-maslo.ru,65000,руб,Соевое масло от 98 руб/л,True,ГОСТ,Доставка по ПФО,"Пенза, Саратов, Ульяновск",https://penza-maslo.ru,manual,
ООО «ДагестанМёд»,Кондитерские изделия,Поставки горного дагестанского мёда оптом.,Дербент,Республика Дагестан,+7 (872) 240-20-27,honey@dagestan-med.ru,dagestan-med.ru,16000,руб,Горный мёд от 520 руб/кг,True,"ГОСТ, органический сертификат",Доставка по СКФО,"Дербент, Махачкала, Ставрополь",https://dagestan-med.ru,manual,
ООО «ПетербургКондитер»,Кондитерские изделия,Оптовые поставки петербургских тортов и пирожных.,Санкт-Петербург,Санкт-Петербург,+7 (812) 220-21-28,cake@peterburg-kond.ru,peterburg-kond.ru,50000,руб,Торты от 560 руб/кг,True,"ГОСТ, HACCP",Доставка по СЗФО,"Петербург, Новгород, Псков",https://peterburg-kond.ru,manual,
ООО «БашкортостанКрупа»,Бакалея,Поставки полбы и спельты от башкирских хозяйств.,Уфа,Республика Башкортостан,+7 (347) 200-22-29,cereal@bashkortostan-krupa.ru,bashkortostan-krupa.ru,40000,руб,Полба от 85 руб/кг,True,ГОСТ,Доставка по ПФО,"Уфа, Оренбург, Казань",https://bashkortostan-krupa.ru,manual,
ООО «ОмскПтица»,Мясо и птица,Поставки цесарки и перепела от омских птицеферм.,Омск,Омская область,+7 (381) 280-23-30,poultry@omsk-ptitsa.ru,omsk-ptitsa.ru,45000,руб,Цесарка от 310 руб/кг,True,ГОСТ,Доставка по СФО,"Омск, Новосибирск, Тюмень",https://omsk-ptitsa.ru,manual,
ООО «ВолгаКонсервы»,Консервы,Оптовые поставки рыбных и мясных консервов поволжских заводов.,Самара,Самарская область,+7 (846) 260-24-31,canned@volga-konservy.ru,volga-konservy.ru,55000,руб,Консервы рыбные от 55 руб/банка,True,"ГОСТ, HACCP",Доставка по ПФО,"Самара, Тольятти, Саратов",https://volga-konservy.ru,manual,
ООО «НальчикМасло»,Масложировая продукция,Поставки кукурузного масла холодного отжима оптом.,Нальчик,Кабардино-Балкарская Республика,+7 (866) 240-25-32,oil@nalchik-maslo.ru,nalchik-maslo.ru,50000,руб,Кукурузное масло от 130 руб/л,True,ГОСТ,Доставка по СКФО и ЮФО,"Нальчик, Ставрополь, Краснодар",https://nalchik-maslo.ru,manual,
ООО «БелгородПтица»,Мясо и птица,Поставки куриного мяса и яиц от белгородских птицефабрик.,Белгород,Белгородская область,+7 (472) 220-26-33,poultry@belgorod-ptitsa.ru,belgorod-ptitsa.ru,70000,руб,Курица от 180 руб/кг,True,"ГОСТ, ветеринарные сертификаты",Доставка по ЦФО,"Белгород, Воронеж, Курск",https://belgorod-ptitsa.ru,manual,
ООО «ТюменьЗерно»,Бакалея,Поставки пшеницы ячменя и сои от западносибирских хозяйств.,Тюмень,Тюменская область,+7 (345) 200-27-34,grain@tyumen-zerno.ru,tyumen-zerno.ru,100000,руб,Соя от 28 руб/кг,True,ГОСТ,Доставка по УФО и СФО,"Тюмень, Омск, Екатеринбург",https://tyumen-zerno.ru,manual,
ООО «ВладимирОвощи»,Фрукты и овощи,Поставки капусты моркови и лука из владимирских хозяйств.,Владимир,Владимирская область,+7 (492) 280-28-35,veg@vladimir-ovoshi.ru,vladimir-ovoshi.ru,22000,руб,Лук репчатый от 22 руб/кг,False,,Доставка по ЦФО,"Владимир, Москва, Иваново",https://vladimir-ovoshi.ru,manual,
ООО «ЧелябинскМясо»,Мясо и птица,Поставки говядины и конины от уральских хозяйств.,Челябинск,Челябинская область,+7 (351) 260-29-36,beef@chelyabinsk-myaso.ru,chelyabinsk-myaso.ru,70000,руб,Говядина от 335 руб/кг,True,"ГОСТ, ветеринарные сертификаты",Доставка по УФО,"Челябинск, Екатеринбург, Магнитогорск",https://chelyabinsk-myaso.ru,manual,
ООО «КарелияРыба»,Рыба и морепродукты,Поставки онежской форели и ряпушки оптом.,Петрозаводск,Республика Карелия,+7 (814) 240-30-37,fish@kareliya-ryba.ru,kareliya-ryba.ru,90000,руб,Форель от 480 руб/кг,True,"ГОСТ, MSC",Доставка по СЗФО,"Петрозаводск, Мурманск, Петербург",https://kareliya-ryba.ru,manual,
ООО «НижегородскийХладокомбинат»,Консервы,Поставки мороженого и замороженных десертов оптом.,Нижний Новгород,Нижегородская область,+7 (831) 220-31-38,ice@nn-hlado.ru,nn-hlado.ru,65000,руб,Мороженое от 120 руб/кг,True,"ГОСТ, HACCP",Доставка по ПФО,"Нижний Новгород, Казань, Чебоксары",https://nn-hlado.ru,manual,
ООО «АлтайЗерно»,Бакалея,Поставки алтайской гречихи пшеницы и льна оптом.,Барнаул,Алтайский край,+7 (385) 200-32-39,grain@altaj-zerno.ru,altaj-zerno.ru,90000,руб,Гречиха от 18 руб/кг,True,ГОСТ,Доставка по СФО,"Барнаул, Новосибирск, Кемерово",https://altaj-zerno.ru,manual,
ООО «ТамбовМясо»,Мясо и птица,Поставки свинины и тамбовского окорока оптом.,Тамбов,Тамбовская область,+7 (475) 280-33-40,pork@tambov-myaso.ru,tambov-myaso.ru,70000,руб,Тамбовский окорок от 380 руб/кг,True,"ГОСТ, ветеринарные сертификаты",Доставка по ЦФО,"Тамбов, Воронеж, Пенза",https://tambov-myaso.ru,manual,
ООО «КировМолПром»,Молочная продукция,Поставки сгущённого молока и консервированных сливок.,Киров,Кировская область,+7 (833) 260-34-41,condensed@kirov-molprom.ru,kirov-molprom.ru,80000,руб,Сгущёнка от 85 руб/банка,True,"ГОСТ, HACCP",Доставка по ПФО,"Киров, Ижевск, Пермь",https://kirov-molprom.ru,manual,
